Unnamed: 0,trial_type_id,full_phrase,full_phrase_language,target_side,dataset_id,distractor_id,target_id,trial_type_aux_data,vanilla_trial,dataset_name,text1,image1,text2,image2,unique_pair,image_similarity,text_similarity
36,998,ball! Where's the ball?,eng,left,6,214,219,,0,baumgartner_2014,ball,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/ball.jpg,dog,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/dog.jpg,214_219,0.61955345,0.8368748
37,1002,car! Can you find the car?,eng,right,6,211,216,,0,baumgartner_2014,car,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/car.jpg,shoe,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/shoe.jpg,211_216,0.62592554,0.8638351
38,1004,ball! Can you find the ball?,eng,right,6,216,219,,0,baumgartner_2014,ball,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/ball.jpg,car,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/car.jpg,216_219,0.5452292,0.8348544
39,1005,shoe! Where's the shoe?,eng,left,6,215,211,,0,baumgartner_2014,shoe,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/shoe.jpg,baby,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/baby.jpg,211_215,0.6016491,0.85306746
40,1007,dog! Can you find the dog?,eng,right,6,211,214,,0,baumgartner_2014,dog,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/dog.jpg,shoe,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/shoe.jpg,211_214,0.5965661,0.8527106
41,1023,kitty! Can you find the kitty?,eng,left,6,219,217,,0,baumgartner_2014,kitty,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/cat.jpg,ball,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/ball.jpg,217_219,0.6055884,0.8098114
42,1028,ball! Where's the ball?,eng,right,6,211,219,,0,baumgartner_2014,ball,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/ball.jpg,shoe,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/shoe.jpg,211_219,0.5462329,0.83144027
43,1036,kitty! Where's the kitty?,eng,right,6,214,217,,0,baumgartner_2014,kitty,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/cat.jpg,dog,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/dog.jpg,214_217,0.80834854,0.91246957
44,1044,baby! Can you find the baby?,eng,left,6,216,215,,0,baumgartner_2014,baby,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/baby.jpg,car,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/baumgartner_2014/raw_data/stimuli/car.jpg,215_216,0.6116033,0.87616897
45,101566,Look! Find the dog!,eng,left,703,26289,26294,,1,byers-heinlein_2017,dog,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/byers-heinlein_2017/raw_data/stimuli/dog.png,book,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/byers-heinlein_2017/raw_data/stimuli/book.png,26289_26294,0.65859956,0.8575686
46,101567,Look! Find the cookie!,eng,left,703,26297,26292,,1,byers-heinlein_2017,cookie,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/byers-heinlein_2017/raw_data/stimuli/cookie.png,foot,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/byers-heinlein_2017/raw_data/stimuli/foot.png,26292_26297,0.6458843,0.8180561
47,101568,Look! Find the pied!,multiple,left,703,26291,26298,,0,byers-heinlein_2017,foot,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/byers-heinlein_2017/raw_data/stimuli/foot.png,cookie,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/byers-heinlein_2017/raw_data/stimuli/cookie.png,26291_26298,0.6458843,0.8180561
48,101570,Look! Find the porte!,multiple,left,703,26299,26296,,0,byers-heinlein_2017,door,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/byers-heinlein_2017/raw_data/stimuli/door.png,mouth,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/byers-heinlein_2017/raw_data/stimuli/mouth.png,26296_26299,0.6696537,0.8305543
49,101572,Look! Find the mouth!,eng,left,703,26295,26300,,1,byers-heinlein_2017,mouth,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/byers-heinlein_2017/raw_data/stimuli/mouth.png,door,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/byers-heinlein_2017/raw_data/stimuli/door.png,26295_26300,0.6696537,0.8305543
51,4045,"ila wil, wa, a!",zxx,left,28,897,923,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,tortilla,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/wa.png,bucket,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/balti.png,897_923,0.6499794,0.70395875
52,4046,"ila wil, si', .. .",zxx,right,28,898,917,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,firewood,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/si'.png,cup,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/baso.png,898_917,0.4611768,0.7993858
53,4047,"ila wil, k'ajk', ya xba jletik!",zxx,left,28,899,905,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,fire,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/k'ajk'.png,bowl,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/bojch.png,899_905,0.70864433,0.8352561
54,4048,"ila wil, ja', a!",zxx,right,28,900,904,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,water,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/ja'.png,bean,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/chenek'.png,900_904,0.51928854,0.83059794
55,4049,"ila wil, mes, a!",zxx,left,28,901,909,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,broom,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/mes.png,purse,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/chojak'.png,901_909,0.72749865,0.7548572
56,4050,"ila wil, chenek', ya xba jletik!",zxx,right,28,902,900,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,bean,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/chenek'.png,chile,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/ich.png,900_902,0.7638233,0.80416536
57,4051,"ila wil, chojak', a!",zxx,left,28,903,901,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,purse,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/chojak'.png,corn,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/ixim.png,901_903,0.716833,0.7768388
58,4052,"ila wil, t'inel, .. .",zxx,right,28,904,918,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,doorway,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/t'inel.png,water,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/ja'.png,904_918,0.62770146,0.7821455
